f,ASD
3.079613149878408519e-05,1.716551110891969220e-16
3.091458264580007858e-05,1.701029746436701978e-16
3.103348939141059457e-05,1.685651910606034688e-16
3.115285348798442494e-05,1.670416260584252787e-16
3.127267669463025686e-05,1.655321466215639219e-16
3.139296077722307998e-05,1.640366209884441848e-16
3.151370750842972612e-05,1.625549186396100842e-16
3.163491866773547975e-05,1.610869102859484553e-16
3.175659604146980735e-05,1.596324678570363670e-16
3.187874142283311698e-05,1.581914644895883282e-16
3.200135661192301623e-05,1.567637745160203431e-16
3.212444341576063125e-05,1.553492734531232005e-16
3.224800364831767794e-05,1.539478379908357256e-16
3.237203913054271316e-05,1.525593459811354489e-16
3.249655169038844312e-05,1.511836764270242102e-16
3.262154316283819141e-05,1.498207094716287135e-16
3.274701538993341746e-05,1.484703263873941931e-16
3.287297022080037430e-05,1.471324095653916501e-16
3.299940951167787097e-05,1.458068425047157102e-16
3.312633512594409974e-05,1.444935098019942031e-16
3.325374893414456104e-05,1.431922971409871795e-16
3.338165281401943285e-05,1.419030912822916109e-16
3.351004865053105520e-05,1.406257800531439321e-16
3.363893833589214652e-05,1.393602523373127860e-16
3.376832376959319331e-05,1.381063980650974256e-16
3.389820685843094434e-05,1.368641082034115850e-16
3.402858951653601034e-05,1.356332747459706899e-16
3.415947366540156153e-05,1.344137907035633052e-16
3.429086123391117120e-05,1.332055500944239501e-16
3.442275415836771658e-05,1.320084479346886454e-16
3.455515438252142570e-05,1.308223802289499066e-16
3.468806385759896118e-05,1.296472439608929401e-16
3.482148454233200926e-05,1.284829370840266759e-16
3.495541840298595692e-05,1.273293585125025356e-16
3.508986741338906377e-05,1.261864081120173377e-16
3.522483355496165410e-05,1.250539866908035944e-16
3.536031881674518034e-05,1.239319959907069521e-16
3.549632519543134067e-05,1.228203386783495439e-16
3.563285469539199615e-05,1.217189183363708731e-16
3.576990932870812578e-05,1.206276394547613128e-16
3.590749111520007570e-05,1.195464074222682309e-16
3.604560208245671744e-05,1.184751285178930060e-16
3.618424426586594114e-05,1.174137099024597811e-16
3.632341970864405773e-05,1.163620596102732591e-16
3.646313046186649542e-05,1.153200865408467567e-16
3.660337858449741873e-05,1.142877004507182167e-16
3.674416614342063505e-05,1.132648119453346774e-16
3.688549521346978289e-05,1.122513324710203628e-16
3.702736787745871663e-05,1.112471743070203051e-16
3.716978622621273156e-05,1.102522505576143979e-16
3.731275235859873179e-05,1.092664751443147610e-16
3.745626838155681444e-05,1.082897627981279515e-16
3.760033641013070180e-05,1.073220290518997097e-16
